Institution_name,Name_no_spaces,ROR,OpenAlex_ID
Cary Institute of Ecosystem Studies,CaryInstitute,https://ror.org/01dhcyx48,I3131038610
Charles R. Drew University of Medicine and Science,CharlesDrew,https://ror.org/038x2fh14,I52710748
Claremont McKenna College,ClaremontMcKenna,https://ror.org/04n1me355,I106107269
Cold Spring Harbor Laboratory,ColdSpring,https://ror.org/02qz8b764,I2750212522
Dartmouth College,Dartmouth,https://ror.org/049s0rh22,I107672454
Grand Valley State University,GVSt,https://ror.org/001m1hv61,I8606887
Indiana University Bloomington,IUBloomington,https://ror.org/02k40bc56,I4210119109
Massachusetts Institute of Technology,MIT,https://ror.org/042nb2s44,I63966007
Michigan State University,MichiganSt,https://ror.org/05hs6h993,I87216513
Middlebury College,Middlebury,https://ror.org/0217hb928,I195575238
Morgan State University,MorganState,https://ror.org/017d8gk22,I83909951
North Carolina Agricultural and Technical State University,NCAT,https://ror.org/02aze4h65,I35777872
Northwestern University,Northwestern,https://ror.org/000e0be47,I111979921
The Ohio State University,OhioSt,https://ror.org/00rs6vg23,I52357470
Pennsylvania State University,PennState,https://ror.org/04p491231,I130769515
Pepperdine University,Pepperdine,https://ror.org/0529ybh43,I100191712
Pomona College,Pomona,https://ror.org/0074grg94,I177881444
Purdue University,Purdue,https://ror.org/02dqehb95,I219193219
Scripps College,Scripps,https://ror.org/00p55jd14,I16970960
SUNY Brockport,SUNYBrockport,https://ror.org/0306aeb62,I4864440
SUNY Geneseo,SUNYGeneseo,https://ror.org/03g1q6c06,I27559774
State University of New York at Oswego,SUNYOswego,https://ror.org/01597g643,I43742981
University of Chicago,UChicago,https://ror.org/024mw5h28,I40347166
"University of Maryland, College Park",UMarylandCP,https://ror.org/047s2c258,I66946132
University of Minnesota,UMinnesota,https://ror.org/017zqws13,I130238516
University of Wisconsin–Madison,UWMadison,https://ror.org/01y2jtd41,I135310074
West Virginia University,WestVirginia,https://ror.org/011vxgd24,I12097938
William & Mary,WilliamandMary,https://ror.org/03hsf0573,I16285277
Yale University,Yale,https://ror.org/03v76x132,I32971472
Iowa State University,ISU,https://ror.org/04rswrd78,I173911158
